Epoch, Loss, Train Acc, Test Acc
145/200, 0.0008, 100.0000, 86.1500
146/200, 0.0007, 100.0000, 86.1800
147/200, 0.0008, 100.0000, 86.0100
148/200, 0.0008, 100.0000, 86.1500
149/200, 0.0007, 100.0000, 86.1400
150/200, 0.0007, 100.0000, 86.0600
151/200, 0.0007, 100.0000, 86.1400
152/200, 0.0007, 100.0000, 86.0900
153/200, 0.0007, 100.0000, 86.1000
154/200, 0.0007, 100.0000, 86.1700
155/200, 0.0008, 100.0000, 86.2000
156/200, 0.0007, 100.0000, 86.1000
157/200, 0.0007, 100.0000, 86.1000
158/200, 0.0007, 100.0000, 86.1200
159/200, 0.0008, 100.0000, 86.1500
160/200, 0.0008, 100.0000, 86.1900
161/200, 0.0007, 100.0000, 86.1600
162/200, 0.0007, 100.0000, 86.1400
163/200, 0.0007, 100.0000, 86.2500
164/200, 0.0007, 100.0000, 86.1900
165/200, 0.0008, 100.0000, 86.1900
166/200, 0.0007, 100.0000, 86.2400
167/200, 0.0007, 100.0000, 86.2300
168/200, 0.0008, 100.0000, 86.2200
169/200, 0.0008, 100.0000, 86.2100
170/200, 0.0008, 100.0000, 86.1600
171/200, 0.0007, 100.0000, 86.1800
172/200, 0.0008, 100.0000, 86.1700
173/200, 0.0008, 100.0000, 86.2400
174/200, 0.0007, 100.0000, 86.1700
175/200, 0.0008, 100.0000, 86.2900
176/200, 0.0008, 100.0000, 86.1300
177/200, 0.0008, 100.0000, 86.2700
178/200, 0.0007, 100.0000, 86.1500
179/200, 0.0008, 100.0000, 86.2500
180/200, 0.0007, 100.0000, 86.1900
181/200, 0.0008, 100.0000, 86.2400
182/200, 0.0008, 100.0000, 86.2600
183/200, 0.0009, 100.0000, 86.1800
184/200, 0.0007, 100.0000, 86.2000
185/200, 0.0008, 100.0000, 86.1800
186/200, 0.0007, 100.0000, 86.1700
187/200, 0.0007, 100.0000, 86.1900
188/200, 0.0007, 100.0000, 86.2700
189/200, 0.0007, 100.0000, 86.2400
190/200, 0.0007, 100.0000, 86.2400
191/200, 0.0007, 100.0000, 86.2600
192/200, 0.0007, 100.0000, 86.2400
193/200, 0.0007, 100.0000, 86.2300
194/200, 0.0007, 100.0000, 86.2300
195/200, 0.0007, 100.0000, 86.2300
196/200, 0.0007, 100.0000, 86.2500
197/200, 0.0007, 100.0000, 86.2400
198/200, 0.0007, 100.0000, 86.2400
199/200, 0.0007, 100.0000, 86.2300
200/200, 0.0007, 100.0000, 86.2300
